,Unnamed: 0,power,base,Should Run,QPDS
0,0,2,2,False,0.0
0,0,2,3,True,90.66270317145896
0,0,2,4,False,0.0
0,0,2,5,True,97.75946553731283
0,0,2,6,True,94.33345266595778
0,0,2,7,True,95.51141405367206
0,0,2,8,True,86.67450018185576
0,0,2,9,False,0.0
0,0,2,10,False,0.0
0,0,2,11,False,0.0
0,0,2,12,False,0.0
0,0,2,13,True,89.89640117796432
0,0,2,14,True,85.02343832792181
0,0,2,15,True,81.0344008386927
0,0,2,16,False,0.0
0,0,2,17,True,94.968106308139
0,0,2,18,True,94.39757311383237
0,0,2,19,True,95.44433943418052
0,0,2,20,True,97.86638967315837
0,0,2,21,True,97.2456077945929
0,0,2,22,True,97.98180092456884
0,0,2,23,True,96.72045662626648
0,0,2,24,True,94.36033640658692
0,0,2,25,False,0.0
0,0,3,2,False,0.0
0,0,3,3,False,0.0
0,0,3,4,True,96.6071431752788
0,0,3,5,True,97.33684229948304
0,0,3,6,True,86.97715086772682
0,0,3,7,True,86.98488388615712
0,0,3,8,False,0.0
0,0,3,9,True,97.3076607681087
0,0,3,10,True,99.70921286394562
0,0,3,11,True,94.91793465471268
0,0,3,12,True,95.19468797184756
0,0,3,13,True,94.33533775774858
0,0,3,14,True,96.04336587652678
0,0,3,15,True,96.26916870445504
0,0,3,16,True,90.84360465988388
0,0,3,17,True,93.35066728739804
0,0,3,18,True,93.21432425735462
0,0,3,19,True,95.0032023605928
0,0,3,20,True,91.56971201982029
0,0,3,21,True,83.56481818550358
0,0,3,22,False,0.0
0,0,3,23,False,0.0
0,0,3,24,False,0.0
0,0,3,25,True,82.04510913184954
