,Unnamed: 0,power,base,Should Run,QPDS
0,0,2,2,False,0.0
0,0,2,3,True,95.0941190923772
0,0,2,4,False,0.0
0,0,2,5,True,95.64701492624592
0,0,2,6,True,93.65647237270444
0,0,2,7,True,95.97914304964615
0,0,2,8,True,84.92698389044932
0,0,2,9,False,0.0
0,0,2,10,False,0.0
0,0,2,11,False,0.0
0,0,2,12,False,0.0
0,0,2,13,True,85.57305997929451
0,0,2,14,False,0.0
0,0,2,15,True,92.25107774127432
0,0,2,16,False,0.0
0,0,2,17,True,92.060613081293
0,0,2,18,True,94.09332722930596
0,0,2,19,True,93.88350507155609
0,0,2,20,True,87.76739482103507
0,0,2,21,True,98.18230588141662
0,0,2,22,True,98.22634886535782
0,0,2,23,False,0.0
0,0,2,24,True,83.02104083145504
0,0,2,25,False,0.0
0,0,2,26,False,0.0
0,0,2,27,False,0.0
0,0,2,28,False,0.0
0,0,2,29,False,0.0
0,0,2,30,False,0.0
0,0,2,31,False,0.0
0,0,2,32,False,0.0
0,0,2,33,False,0.0
0,0,2,34,False,0.0
0,0,2,35,False,0.0
0,0,2,36,False,0.0
0,0,2,37,False,0.0
0,0,2,38,False,0.0
0,0,2,39,False,0.0
0,0,2,40,False,0.0
0,0,2,41,False,0.0
0,0,2,42,False,0.0
0,0,2,43,False,0.0
0,0,2,44,False,0.0
0,0,2,45,False,0.0
0,0,2,46,False,0.0
0,0,2,47,False,0.0
0,0,2,48,False,0.0
0,0,2,49,False,0.0
0,0,2,50,False,0.0
0,0,3,2,False,0.0
0,0,3,3,False,0.0
0,0,3,4,True,90.93599487151262
0,0,3,5,True,89.90028076998478
0,0,3,6,True,85.86970811510741
0,0,3,7,True,87.62914585048436
0,0,3,8,False,0.0
0,0,3,9,True,91.96218076463758
0,0,3,10,True,98.07988382837722
0,0,3,11,True,90.58130336529564
0,0,3,12,True,89.84661503121329
0,0,3,13,True,94.8170809666555
0,0,3,14,True,96.7373805820168
0,0,3,15,True,96.76331381597107
0,0,3,16,True,95.25015109787898
0,0,3,17,True,90.02322431375033
0,0,3,18,True,99.48970700702596
0,0,3,19,True,97.53789734173314
0,0,3,20,True,97.79635385000408
0,0,3,21,True,85.4514017398377
0,0,3,22,False,0.0
0,0,3,23,False,0.0
0,0,3,24,False,0.0
0,0,3,25,False,0.0
0,0,3,26,False,0.0
0,0,3,27,False,0.0
0,0,3,28,False,0.0
0,0,3,29,True,79.24523010916835
0,0,3,30,False,0.0
0,0,3,31,False,0.0
0,0,3,32,False,0.0
0,0,3,33,False,0.0
0,0,3,34,False,0.0
0,0,3,35,False,0.0
0,0,3,36,False,0.0
0,0,3,37,False,0.0
0,0,3,38,False,0.0
0,0,3,39,False,0.0
0,0,3,40,False,0.0
0,0,3,41,False,0.0
0,0,3,42,False,0.0
0,0,3,43,False,0.0
0,0,3,44,False,0.0
0,0,3,45,True,78.70168886893268
0,0,3,46,False,0.0
0,0,3,47,True,84.14333632143564
0,0,3,48,True,90.44861268523805
0,0,3,49,True,90.79581857235712
0,0,3,50,True,81.61699265934632
