,Unnamed: 0,power,base,Should Run,QPDS
0,0,2,2,False,0.0
0,0,2,3,False,0.0
0,0,2,4,False,0.0
0,0,2,5,True,97.99528448298646
0,0,2,6,True,97.16558342169836
0,0,2,7,False,0.0
0,0,2,8,False,0.0
0,0,2,9,False,0.0
0,0,2,10,False,0.0
0,0,2,11,False,0.0
0,0,2,12,False,0.0
0,0,2,13,True,87.83247005517654
0,0,2,14,True,85.41513279217855
0,0,2,15,False,0.0
0,0,2,16,False,0.0
0,0,2,17,True,85.90834844410459
0,0,2,18,True,88.81438332991227
0,0,2,19,True,87.06457316065482
0,0,2,20,True,98.4123869927793
0,0,2,21,True,98.34428930806702
0,0,2,22,False,0.0
0,0,2,23,False,0.0
0,0,2,24,True,98.9261242775291
0,0,2,25,False,0.0
0,0,3,2,False,0.0
0,0,3,3,False,0.0
0,0,3,4,False,0.0
0,0,3,5,True,99.0785436090228
0,0,3,6,False,0.0
0,0,3,7,False,0.0
0,0,3,8,False,0.0
0,0,3,9,True,87.77332556636776
0,0,3,10,True,89.1264247957412
0,0,3,11,True,88.60726761608275
0,0,3,12,True,89.79025986722759
0,0,3,13,False,0.0
0,0,3,14,True,88.11492782379719
0,0,3,15,True,99.6436504162112
0,0,3,16,False,0.0
0,0,3,17,True,95.28142482681888
0,0,3,18,True,93.60332896231964
0,0,3,19,False,0.0
0,0,3,20,False,0.0
0,0,3,21,False,0.0
0,0,3,22,False,0.0
0,0,3,23,False,0.0
0,0,3,24,False,0.0
0,0,3,25,False,0.0
