,Unnamed: 0,power,base,Should Run,QPDS
0,0,2,2,False,0.0
0,0,2,3,False,0.0
0,0,2,4,False,0.0
0,0,2,5,True,95.71007105185976
0,0,2,6,True,99.1812491849991
0,0,2,7,True,98.52333713604033
0,0,2,8,True,85.95554881816648
0,0,2,9,False,0.0
0,0,2,10,False,0.0
0,0,2,11,False,0.0
0,0,3,2,False,0.0
0,0,3,3,False,0.0
0,0,3,4,True,93.8886779821504
0,0,3,5,True,97.68619266407316
0,0,3,6,False,0.0
0,0,3,7,True,90.90509737810726
0,0,3,8,False,0.0
0,0,3,9,True,92.1899036644216
0,0,3,10,True,93.20456188693066
0,0,3,11,True,94.49960713962884
